SMILES,Complexity,Ered_ag,syba_score
CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,6,-2.55,16.629305261811993
CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,7,-2.69,28.032065381281853
CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,4,-2.8,34.737855241873156
CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,6,-2.55,19.66499598520926
CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,6,-2.58,20.62442325406509
CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,6,-2.87,21.23992472453966
CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,6,-2.63,26.4918633788731
CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,7,-2.44,23.306341815192656
CCN1CN(CCOC)c2c1cc1nsnc1c2C,7,-2.83,12.2843825922119
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,6,-2.59,15.009971707567797
CCNc1cc(N(C)CC)cc2nsnc12,5,-2.62,35.87694386119153
CCCOC1N(CC)c2cc3nsnc3cc2N1CC,6,-2.77,12.678082852364167
CCN1CCN(C)c2cc3nsnc3c(C(C)C)c21,6,-2.62,15.966834161643648
CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,6,-2.55,12.01060601327357
CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,6,-2.66,16.156921293930765
CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,6,-2.68,21.57982344480518
CCCOC1N(C)c2cc3nsnc3cc2N1CC,6,-2.7,8.103680167069419
CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,6,-2.75,12.782568078475272
CCCN1CCN(C)c2cc3nsnc3c(C)c21,6,-2.65,14.597965592355498
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,6,-2.61,18.884872241632053
CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,6,-2.5,26.685236607687724
CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,6,-2.54,22.061787637925367
CCCN1CCN(C(C)C)c2cc3nsnc3cc21,4,-2.67,28.29659448218859
CCCN1CCN(CC)c2c1cc1nsnc1c2NC,6,-2.73,19.792051833265475
CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,6,-2.74,11.886070640679863
CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,6,-2.74,12.678506477635063
CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,4,-2.72,34.34236324029275
CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,6,-2.63,11.057176179434126
CCCCN1CCN(C)c2cc3nsnc3c(C)c21,6,-2.72,21.17437558213192
CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,6,-2.73,11.328975600589875
CCN1c2cc3nsnc3cc2N(CC)C1OC,6,-2.96,6.342594556709109
CCN1CCN(C)c2c1cc1nsnc1c2NC,6,-2.62,11.747152354970732
CCCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,6,-2.66,17.703765190706502
CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,6,-2.47,24.4340224874399
Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,-2.7,12.524805002909677
CCN1CCc2c1cc1nsnc1c2C,5,-2.59,10.178729471086804
CNc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,6,-2.64,21.728750689100732
CCNc1c2c(cc3nsnc13)N(C)CCN2CCOC,7,-2.63,30.304002539151238
CCN1CCN(CC)c2c1c(C)c1nsnc1c2NC,8,-2.56,10.61581455499833
CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,6,-2.66,21.58867740319484
CCN1CC(C)c2c1cc1nsnc1c2C,5,-2.66,-0.8129000299754474
Cc1c2c(cc3nsnc13)N(C)C(C)CC2,5,-2.58,0.16011002668462226
CCCN1CCN(C)c2c1cc1nsnc1c2C,6,-2.61,14.291825027337064
CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,6,-2.47,18.869931243903828
CCCCN1CCN(C)c2cc3nsnc3c(CCC)c21,6,-2.93,27.006854448393113
CCc1c2c(cc3nsnc13)N(CC)CCO2,4,-2.58,9.692533282417527
CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC,6,-2.89,11.979196748796923
CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2CC,6,-2.48,27.198581449894185
CCCOC1N(C)c2cc3nsnc3cc2N1CCC,6,-2.73,11.815396447224206
CCC(C)c1c2c(cc3nsnc13)N(CC)CCN2C,6,-2.61,12.31424099136979
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2C,6,-2.66,20.172828130587373
CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,6,-2.66,17.371947838320423
CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,6,-2.71,11.77496998729744
CCOC1N(C)c2cc3nsnc3c(C)c2N1CC,8,-3.01,1.2205865882251485
CNc1c2c(cc3nsnc13)N(C)C(C)C2,5,-2.65,-0.20614293625853897
CCC(C)N1c2cc3nsnc3cc2CC1C,3,-2.53,10.570611138499451
CCCN1CCN(CCC)c2c1cc1nsnc1c2C,6,-2.6,16.7984254268702
CCCN1CCN(CC)c2c1c(C)c1nsnc1c2C,8,-2.49,9.123529579716834
COCCN1CCN(C)c2cc3nsnc3c(C)c21,7,-2.64,23.407726207366366
CNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,-2.64,17.14914417682517
COc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,6,-2.6,20.23440142896019
CCN1CCN(C)c2c1cc1nsnc1c2NCCOC,7,-2.89,28.18185543249039
CCN1CCc2c1cc1nsnc1c2NC,5,-2.56,15.362688759759905
Cc1c2c(cc3nsnc13)N(C(C)C)CCO2,4,-2.56,12.136964668477404
CCNc1c2c(cc3nsnc13)N(C)CCO2,4,-2.57,16.64958151777929
CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,7,-2.64,17.213638916663708
CCN1CCOc2c1cc1nsnc1c2C,4,-2.59,7.126036442207219
CCN1CCOc2c1cc1nsnc1c2NC,4,-2.59,11.75037417385073
CCCN1c2cc3nsnc3cc2N(C)C1OC,6,-2.73,6.294018296580327
CC(C)CN1c2cc3nsnc3cc2CC1C,3,-2.57,21.01073374428177
CCN1CCN(C)c2cc3nsnc3c(NC)c21,6,-2.62,16.093890009699862
COc1cc2nsnc2c2c1CCCN2C,5,-2.5,11.191289749666364
CC(C)CN1CCc2cc3nsnc3cc21,3,-2.58,31.69103596076073
CNc1c2c(cc3nsnc13)N(C)CC2C,5,-2.66,-1.9289742586529284
CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,4,-2.79,15.176436460947242
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,6,-2.76,12.514896482584582
CCCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,-2.61,26.51357267477
CCN1CCN(CCOC)c2cc3nsnc3c(NC)c21,7,-2.64,28.149873097114217
CNc1c2c(cc3nsnc13)N(C)CC2,5,-2.54,10.673686361079902
CCOc1cc2nsnc2c2c1C(C)CCN2,4,-2.48,-11.108837047828313
CCCOc1cc2nsnc2c2c1CCCN2,4,-2.49,10.937045209803184
CCCCN1CCN(C)c2c1cc1nsnc1c2C,6,-2.63,20.33759378544123
CCN1c2c(cc3nsnc3c2C)N(C)C1OC,8,-2.71,-4.2184042696345045
CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,6,-2.72,6.97568647486086
CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,6,-2.82,12.690884534002116
