SMILES,Ered_ag,syba_score
CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.6,16.79842543
CCCN1CCN(CC)c2c1c(C)c1nsnc1c2C,-2.49,9.12352958
COCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.64,23.40772621
CNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.64,17.14914418
COc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,-2.6,20.23440143
CCN1CCN(C)c2c1cc1nsnc1c2NCCOC,-2.89,28.18185543
CCN1CCc2c1cc1nsnc1c2NC,-2.56,15.36268876
Cc1c2c(cc3nsnc13)N(C(C)C)CCO2,-2.56,12.13696467
CCNc1c2c(cc3nsnc13)N(C)CCO2,-2.57,16.64958152
CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,-2.64,17.21363892
CCN1CCOc2c1cc1nsnc1c2C,-2.59,7.126036442
CCN1CCOc2c1cc1nsnc1c2NC,-2.59,11.75037417
CCCN1c2cc3nsnc3cc2N(C)C1OC,-2.73,6.294018297
CC(C)CN1c2cc3nsnc3cc2CC1C,-2.57,21.01073374
CCN1CCN(C)c2cc3nsnc3c(NC)c21,-2.62,16.09389001
COc1cc2nsnc2c2c1CCCN2C,-2.5,11.19128975
CC(C)CN1CCc2cc3nsnc3cc21,-2.58,31.69103596
CNc1c2c(cc3nsnc13)N(C)CC2C,-2.66,-1.928974259
CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79,15.17643646
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,-2.76,12.51489648
CCCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.61,26.51357267
CCN1CCN(CCOC)c2cc3nsnc3c(NC)c21,-2.64,28.1498731
CNc1c2c(cc3nsnc13)N(C)CC2,-2.54,10.67368636
CCOc1cc2nsnc2c2c1C(C)CCN2,-2.48,-11.10883705
CCCOc1cc2nsnc2c2c1CCCN2,-2.49,10.93704521
CCCCN1CCN(C)c2c1cc1nsnc1c2C,-2.63,20.33759379
CCN1c2c(cc3nsnc3c2C)N(C)C1OC,-2.71,-4.21840427
CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,-2.72,6.975686475
CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.82,12.69088453
CCN1c2cc3nsnc3c(C)c2N(C)C1OC,-2.63,-4.506086342
CCN1CN(CC)c2c1c(C)c1nsnc1c2C,-2.84,2.62467709
CCN(C)c1cc2nsnc2c2c1OCCN2,-2.31,-8.294646675
CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,-2.75,16.64413826
CCCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,-2.6,21.998346
CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72,19.73361906
COc1cc2nsnc2c2c1CCCN2,-2.49,1.095429746
CCCN1CN(CC)c2c1c(C)c1nsnc1c2C,-2.7,4.12237908
CCCN1CN(CC)c2c1cc1nsnc1c2C,-2.75,3.90675149
CNc1c2c(cc3nsnc13)N(C)CCO2,-2.58,11.69047795
COc1cc2nsnc2c2c1C(C)CCN2,-2.47,-12.83053851
COC1N(C)c2cc3nsnc3c(C)c2N1C(C)C,-3.05,-2.710848318
CCCN1CCN(C)c2c1cc1nsnc1c2N(C)CC,-2.53,19.04346004
CC(C)Oc1cc(N(C)C)c2nsnc2c1,-2.56,39.19710527
CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63,9.16269287
CCNc1c(C)c(OCC)cc2nsnc12,-2.18,34.90067166
CCN1CN(CC)c2cc3nsnc3cc21,-2.73,9.741118008
CCNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,-2.5,28.95717377
CCCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,-2.77,15.3908238
CCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,-2.84,12.77324332
CCCN1CCN(CC)c2c1cc1nsnc1c2N(C)C,-2.64,20.15562083
CNc1c(C)c(OC(C)C)cc2nsnc12,-2.49,30.889635
CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,-3.07,21.81534361
CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.74,7.853693498
CCC(C)N1CN(CC)c2c1cc1nsnc1c2NC,-2.56,11.60002565
CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,-2.7,7.128414966
COc1cc2nsnc2c2c1OCCCC2,-2.24,6.67023879
CCCN1CN(CC)c2cc3nsnc3cc21,-2.82,10.14020482
CCOc1cc2nsnc2cc1OCC,-2.32,37.65444683
CCOc1cc(N(C)C)c2nsnc2c1,-2.63,37.77858517
CC1Cc2c(c3c(c4nsnc24)NCCC3)O1,-2.49,-18.60202313
COc1cc2nsnc2c2c1OC(C)CC2,-2.49,-1.100813647
CCCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.85,16.02678493
