SMILES,Complexity,syba_score
CCC1CN(C)c2c1ccc1nsnc21,3,-4.089334917504031
CC1Oc2c3c(c4nsnc4c2OC1C)OC(C)C(C)O3,6,-7.033557223691701
CCCN1CC(C)(C)c2c3c(c4nsnc4c21)OCCN3C,5,-8.212712132594893
CCCN(C)c1ccc2nsnc2c1N(C)CCOC,7,51.2269983411704
CCN(c1cc(CCOC)cc2nsnc12)C(C)C,6,49.2391916650448
CCCN1CCN(C)c2c1c1c(c3nsnc23)CCCO1,5,3.935388354201301
CCN(CCC(=O)Oc1cccc2nsnc12)C(C)C,4,69.10117112904062
CCC1Oc2cc3nsnc3c(/[NH+]=C(\C)[O-])c2OC1CC,5,-12.134203060192556
CCCCc1c2c(c(OC(C)C)c3nsnc13)OCCO2,4,31.7349333472649
CCCOCC/C([O-])=[NH+]\c1cc(N(C)C)cc2nsnc12,6,33.95405859048837
CCCCOc1c(C)c(OC)c(CC)c2nsnc12,8,35.2076850985157
CCCOc1c(OC)cc(CCC)c2nsnc12,6,40.74385518804854
CCCOc1c2c(c(CC)c3nsnc13)OC(C)C(C)O2,8,11.00770598353155
CCC(=O)Oc1c(C)c(OC)c(CC)c2nsnc12,8,28.815637587287622
CC/[N+](=C(/C)[O-])c1c2c(cc3nsnc13)C(C)CO2,5,-16.36802642445231
CCCc1c(N(C)C)c2c(c3nsnc13)CC(C)O2,7,8.1151876804207
CC(C)CC1COc2ccc3nsnc3c2O1,2,23.146808102091995
CCC1COc2cc3nsnc3c(OC(=O)C(C)C)c2O1,4,19.079148398525625
CCC(C)c1ccc(OC(=O)CCOC)c2nsnc12,5,55.89814807106114
CCC(C)N(CC)c1ccc(OCC(C)C)c2nsnc12,5,53.72816350748018
CCC(C)Oc1cc2nsnc2c(N(C)CC)c1C,7,34.3558475740353
CCCOc1c2c(c(C)c3nsnc13)N(C)CCO2,6,9.32064212865441
CCC1Cc2c(c3c(c4nsnc24)CCC3)N1C,5,0.5993904512595727
CCCCc1c2c(c(N(C)CC)c3nsnc13)OCCO2,5,25.880067263845667
COCCc1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,6,24.075729543848695
CCCC(=O)Oc1c(C)c(C)c(OC(C)=O)c2nsnc12,8,32.76153832327848
C/C([O-])=[N+](\c1c(OCC(C)C)ccc2nsnc12)C(C)C,5,46.74098111341626
CC[N+]1=C([O-])Cc2ccc3nsnc3c21,3,17.928288728745404
Cc1c(N(C)CC(C)C)c(N(C)C)cc2nsnc12,8,33.77993969617513
CCN(C)c1cc2nsnc2cc1CCOC,6,37.28816401139298
CCc1c(C(C)CC)cc2nsnc2c1OC(C)C,6,32.393006399225115
CCC/C([O-])=[NH+]\c1c(OC(C)C)ccc2nsnc12,4,37.049679587250985
CCC(C)N(C)c1c2c(c(C(C)C)c3nsnc13)OCCO2,5,23.795184798078914
CCN1CN(CC(C)C)c2cc3nsnc3c(N(C)C)c21,7,14.762309740375343
CCOc1cc2c(c3nsnc13)COCC2,5,7.364109389443978
COCCc1c2c(c3nsnc3c1OC(C)C)OCCO2,6,28.961438454677182
CC/[N+](=C(/C)[O-])c1c2c(cc3nsnc13)CCCCO2,5,0.44919690450850625
CCCOCCN(CC)c1cc(C)c2nsnc2c1,6,51.085266394606705
CC1(C)COc2c1ccc1nsnc21,2,1.4090637083215098
CCCOc1c(N(C)C)cc(N(C)CCC)c2nsnc12,8,40.999821602019146
CCCc1cc(OC)c2nsnc2c1OC(=O)CC(C)C,6,48.77163235505035
CCC(C)N(CC)CCc1c2c(cc3nsnc13)OCCO2,5,32.74587904050354
CC(C)CN1CCN(CCN(C)C)c2cc3nsnc3cc21,6,33.9247351839699
CCOc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,19.886991950067912
CCC(C)/C([O-])=[N+](/C)c1c(C(C)C)cc(OC)c2nsnc12,7,33.88472670179841
COc1cc2c(c3nsnc13)CCC(C)N2C,5,6.513337754593984
CCC/[N+](=C(/C)[O-])c1cc(OC)cc2nsnc12,5,29.714856533739045
CCc1cc2nsnc2c(OCC(C)C)c1OC,6,36.30019368954515
CCC1Cc2c3c(c4nsnc4c2N1)CCN3C,5,-17.08544510747615
COc1cc2nsnc2c2c1OCC2C,4,-12.184518217596027
CCC(C)Oc1cc2nsnc2cc1C(C)C,4,47.78391190374734
C/C([O-])=[NH+]\c1cc2c(c3nsnc13)OCC(C(C)C)O2,4,-3.2356973007075984
CCc1ccc2nsnc2c1/[N+](C)=C(/[O-])C(C)CC,5,33.4211935160944
CCCC/C([O-])=[NH+]\c1cc(C)c(OC(C)=O)c2nsnc12,6,27.590776747696253
CCCN(C)c1cc(CC)c2nsnc2c1,5,36.841598550642296
CCCCc1c(OC)c(C)c2nsnc2c1CCC,8,31.17662371535925
COc1c2c(cc3nsnc13)OC(C(C)C)CO2,4,7.087932656438225
Cc1c2c(c(C)c3nsnc13)N(C)CCN2C,8,3.6178403572226925
COc1cc(OC)c2nsnc2c1OC,6,25.559418076197268
CCC1Oc2c(c(C)c(C)c3nsnc23)OC1C,7,-9.404111101517676
CCCN(C)c1c(C)cc2nsnc2c1/[N+](C)=C(/[O-])CC,8,29.5108533664232
